CommonCode,Name,Description,Symbol,Annex,Alias,Active
N46,foot poundal,Unit of the work (force_path).,ft*pdl,1,FOOT_POUNDAL_N46,0
N27,foot to the fourth power,Power of the unit foot according to the Anglo_American and Imperial system of units by exponent 4 according to NIST: 1 ft4 = 8630 975 m4.,ft^4,1,FOOT_TO_THE_FOURTH_POWER_N27,0
P27,footcandle,Non SI conform traditional unit defined as density of light which impinges on a surface which has a distance of one foot from a light source which shines with an intensity of an international candle.,ftc,1,FOOTCANDLE_P27,0
P29,footlambert,Unit of the luminance according to the Anglo_American system of units defined as emitted or reflected luminance of a lm/ft^2.,ftL,1,FOOTLAMBERT_P29,0
21,forty foot container,A unit of count defining the number of shipping containers that measure 40 foot in length.,,2,FORTY_FOOT_CONTAINER_21,1
P4,four pack,,,2,FOUR_PACK_P4,1
N94,franklin,CGS (Centimetre_Gram_Second system) unit of the electrical charge where the charge amounts to exactly 1 Fr where the force of 1 dyn on an equal load is performed at a distance of 1 cm.,Fr,1,FRANKLIN_N94,0
A75,freight ton,A unit of information typically used for billing purposes defined as either the number of metric tons or the number of cubic metres whichever is the larger.,,2,FREIGHT_TON_A75,1
H79,French gauge,A unit of distance used for measuring the diameter of small tubes such as urological instruments and catheters. Synonym: French Charrière Charrière gauge,Fg,1,FRENCH_GAUGE_H79,0
1G,fuel usage gallon (US),,,2,FUEL_USAGE_GALLON_US_1G,1
M50,furlong,Unit commonly used in Great Britain at rural distances: 1 furlong = 40 rods = 10 chains (UK) = 1/8 mile = 1/10 furlong = 220 yards = 660 foot.,fur,1,FURLONG_M50,0
GZ,gage system,,,2,GAGE_SYSTEM_GZ,1
A76,gal,,Gal,1,GAL_A76,0
GLI,gallon (UK),,gal (UK),1,GALLON_UK_GLI,0
K26,gallon (UK) per day,,gal (UK)/d,1,GALLON_UK_PER_DAY_K26,0
K27,gallon (UK) per hour,,gal (UK)/h,1,GALLON_UK_PER_HOUR_K27,0
K28,gallon (UK) per second,,gal (UK)/s,1,GALLON_UK_PER_SECOND_K28,0
K30,gallon (US liquid) per second,,gal (US liq.)/s,1,GALLON_US_LIQUID_PER_SECOND_K30,0
GLL,gallon (US),,gal (US),1,GALLON_US_GLL,0
GB,gallon (US) per day,,gal (US)/d,2,GALLON_US_PER_DAY_GB,1
G50,gallon (US) per hour,,gal/h,1,GALLON_US_PER_HOUR_G50,0
GW,gallon per thousand cubic foot,,,2,GALLON_PER_THOUSAND_CUBIC_FOOT_GW,1
5C,gallon(US) per thousand,,,2,GALLONUS_PER_THOUSAND_5C,1
P12,gamma,Unit of magnetic flow density.,γ,1,GAMMA_P12,0
76,gauss,,Gs,2,GAUSS_76,1
A77,Gaussian CGS (Centimetre_Gram_Second system) unit of displacement,,,2,GAUSSIAN_CGS_CENTIMETRE_GRAM_SECOND_SYSTEM_UNIT_OF_DISPLACEMENT_A77,1
A79,Gaussian CGS (Centimetre_Gram_Second system) unit of electric charge,,,2,GAUSSIAN_CGS_CENTIMETRE_GRAM_SECOND_SYSTEM_UNIT_OF_ELECTRIC_CHARGE_A79,1
A78,Gaussian CGS (Centimetre_Gram_Second system) unit of electric current,,,2,GAUSSIAN_CGS_CENTIMETRE_GRAM_SECOND_SYSTEM_UNIT_OF_ELECTRIC_CURRENT_A78,1
A80,Gaussian CGS (Centimetre_Gram_Second system) unit of electric field strength,,,2,GAUSSIAN_CGS_CENTIMETRE_GRAM_SECOND_SYSTEM_UNIT_OF_ELECTRIC_FIELD_STRENGTH_A80,1
A81,Gaussian CGS (Centimetre_Gram_Second system) unit of electric polarization,,,2,GAUSSIAN_CGS_CENTIMETRE_GRAM_SECOND_SYSTEM_UNIT_OF_ELECTRIC_POLARIZATION_A81,1
A82,Gaussian CGS (Centimetre_Gram_Second system) unit of electric potential,,,2,GAUSSIAN_CGS_CENTIMETRE_GRAM_SECOND_SYSTEM_UNIT_OF_ELECTRIC_POTENTIAL_A82,1
A83,Gaussian CGS (Centimetre_Gram_Second system) unit of magnetization,,,2,GAUSSIAN_CGS_CENTIMETRE_GRAM_SECOND_SYSTEM_UNIT_OF_MAGNETIZATION_A83,1
B30,gibibit,A unit of information equal to 2^3^0 bits (binary digits).,Gibit,2,GIBIBIT_B30,1
E71,gibibit per cubic metre,A unit of information equal to 2^30 bits (binary digits) per cubic metre.,Gibit/m^3,2,GIBIBIT_PER_CUBIC_METRE_E71,1
E69,gibibit per metre,A unit of information equal to 2^30 bits (binary digits) per metre.,Gibit/m,2,GIBIBIT_PER_METRE_E69,1
E70,gibibit per square metre,A unit of information equal to 2^30 bits (binary digits) per square metre.,Gibit/m^2,2,GIBIBIT_PER_SQUARE_METRE_E70,1
E62,gibibyte,A unit of information equal to 2^30 bytes.,Gibyte,2,GIBIBYTE_E62,1
GBQ,gigabecquerel,,GBq,1,GIGABECQUEREL_GBQ,0
B68,gigabit,A unit of information equal to 10^9 bits (binary digits).,Gbit,2,GIGABIT_B68,1
B80,gigabit per second,A unit of information equal to 10^9 bits (binary digits) per second.,Gbit/s,2,GIGABIT_PER_SECOND_B80,1
E34,gigabyte,A unit of information equal to 10^9 bytes.,Gbyte,2,GIGABYTE_E34,1
E68,gigabyte per second,A unit of information equal to 10^9 bytes per second.,Gbyte/s,2,GIGABYTE_PER_SECOND_E68,1
E11,gigacalorie,A unit of heat energy equal to one thousand million calories.,,2,GIGACALORIE_E11,1
A84,gigacoulomb per cubic metre,,GC/m^3,1,GIGACOULOMB_PER_CUBIC_METRE_A84,0
A85,gigaelectronvolt,,GeV,1,GIGAELECTRONVOLT_A85,0
A86,gigahertz,,GHz,1,GIGAHERTZ_A86,0
M18,gigahertz metre,,GHz*m,1,GIGAHERTZ_METRE_M18,0
GV,gigajoule,,GJ,1,GIGAJOULE_GV,0
A87,gigaohm,,GΩ,1,GIGAOHM_A87,0
A88,gigaohm metre,,GΩ*m,1,GIGAOHM_METRE_A88,0
